agent,phase,action,duration
Array Cable Installation Vessel,ArrayCableInstallation,Delay,115960.0
Array Cable Installation Vessel,ArrayCableInstallation,Lay/Bury Cable,12525.97900141117
Array Cable Installation Vessel,ArrayCableInstallation,Load Cable,150.0
Array Cable Installation Vessel,ArrayCableInstallation,Lower Cable,1386.0
Array Cable Installation Vessel,ArrayCableInstallation,Mobilize,1800.0
Array Cable Installation Vessel,ArrayCableInstallation,Position Onsite,2772.0
Array Cable Installation Vessel,ArrayCableInstallation,Prepare Cable,2772.0
Array Cable Installation Vessel,ArrayCableInstallation,Pull In Cable,15246.0
Array Cable Installation Vessel,ArrayCableInstallation,Terminate Cable,15246.0
Array Cable Installation Vessel,ArrayCableInstallation,Transit,1146.1114782608695
Export Cable Installation Vessel,ExportCableInstallation,Delay,28847.0
Export Cable Installation Vessel,ExportCableInstallation,Lay/Bury Cable,8942.4935818345
Export Cable Installation Vessel,ExportCableInstallation,Load Cable,150.0
Export Cable Installation Vessel,ExportCableInstallation,Lower Cable,25.0
Export Cable Installation Vessel,ExportCableInstallation,Mobilize,1800.0
Export Cable Installation Vessel,ExportCableInstallation,Position Onsite,50.0
Export Cable Installation Vessel,ExportCableInstallation,Prepare Cable,25.0
Export Cable Installation Vessel,ExportCableInstallation,Pull In Cable,275.0
Export Cable Installation Vessel,ExportCableInstallation,Pull Winch,10.0
Export Cable Installation Vessel,ExportCableInstallation,Terminate Cable,275.0
Export Cable Installation Vessel,ExportCableInstallation,Tow Plow,10.0
Export Cable Installation Vessel,ExportCableInstallation,Transit,573.0557391304347
Floating Substation Installation Vessel,FloatingSubstationInstallation,Ballast to Operational Draft,300.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Check Mooring Lines,1800.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Connect Mooring Lines,3300.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Delay,12921.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Delay: Waiting on Substation Assembly,600.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Install Mooring Line,672.87
Floating Substation Installation Vessel,FloatingSubstationInstallation,Install Suction Pile Anchor,2322.87
Floating Substation Installation Vessel,FloatingSubstationInstallation,Perform Mooring Site Survey,600.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Position Onsite,100.0
Floating Substation Installation Vessel,FloatingSubstationInstallation,Tow Substation to Site,2196.7136666666665
Floating Substation Installation Vessel,FloatingSubstationInstallation,Transit,1318.0282
Mooring System Installation Vessel,MooringSystemInstallation,Delay,74213.0
Mooring System Installation Vessel,MooringSystemInstallation,Install Drag Embedment Anchor,68599.65000000001
Mooring System Installation Vessel,MooringSystemInstallation,Install Mooring Line,18703.65
Mooring System Installation Vessel,MooringSystemInstallation,Load Mooring System,6930.0
Mooring System Installation Vessel,MooringSystemInstallation,Mobilize,4200.0
Mooring System Installation Vessel,MooringSystemInstallation,Perform Mooring Site Survey,16632.0
Mooring System Installation Vessel,MooringSystemInstallation,Position Onsite,8316.0
Mooring System Installation Vessel,MooringSystemInstallation,Transit,37321.049300000006
Onshore Construction,ExportCableInstallation,Onshore Construction,0.0
Substation Assembly Line 1,FloatingSubstationInstallation,Attach Topside,1200.0
Substation Assembly Line 1,FloatingSubstationInstallation,Substation Substructure Assembly,0.0
Substructure Assembly Line 1,MooredSubInstallation,Substructure Assembly,232848.0
Towing Group 1,MooredSubInstallation,Ballast to Operational Draft,2820.0
Towing Group 1,MooredSubInstallation,Ballast to Towing Draft,2820.0
Towing Group 1,MooredSubInstallation,Check Mooring Lines,2820.0
Towing Group 1,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9400.0
Towing Group 1,MooredSubInstallation,Delay,138580.0
Towing Group 1,MooredSubInstallation,Delay: No Completed Turbine Assemblies,151303.93768181818
Towing Group 1,MooredSubInstallation,Position Substructure,940.0
Towing Group 1,MooredSubInstallation,Tow Substructure,23171.49636363636
Towing Group 1,MooredSubInstallation,Transit,21240.538333333334
Towing Group 2,MooredSubInstallation,Ballast to Operational Draft,2778.0
Towing Group 2,MooredSubInstallation,Ballast to Towing Draft,2778.0
Towing Group 2,MooredSubInstallation,Check Mooring Lines,2778.0
Towing Group 2,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9260.0
Towing Group 2,MooredSubInstallation,Delay,135641.0
Towing Group 2,MooredSubInstallation,Delay: No Completed Turbine Assemblies,155772.8807121212
Towing Group 2,MooredSubInstallation,Position Substructure,926.0
Towing Group 2,MooredSubInstallation,Tow Substructure,22893.843454545455
Towing Group 2,MooredSubInstallation,Transit,20986.023166666666
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,2718.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,2718.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,2718.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9060.0
Towing Group 3,MooredSubInstallation,Delay,131860.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Turbine Assemblies,155903.44736363637
Towing Group 3,MooredSubInstallation,Position Substructure,906.0
Towing Group 3,MooredSubInstallation,Tow Substructure,22481.304909090908
Towing Group 3,MooredSubInstallation,Transit,20607.862833333333
Turbine Assembly Line 1,MooredSubInstallation,Delay,94571.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,4749.5
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,99792.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,14553.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,16632.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Tower Section,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Mechanical Completion,33264.0
Turbine Assembly Line 1,MooredSubInstallation,Move Substructure,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Prepare for Turbine Assembly,16632.0
