agent,action,phase,duration
Floating Substation Installation Vessel,Ballast to Operational Draft,FloatingSubstationInstallation,420.0
Floating Substation Installation Vessel,Check Mooring Lines,FloatingSubstationInstallation,2520.0
Floating Substation Installation Vessel,Connect Mooring Lines,FloatingSubstationInstallation,4620.0
Floating Substation Installation Vessel,Delay,FloatingSubstationInstallation,12174.0
Floating Substation Installation Vessel,Delay: Waiting on Completed Assembly,FloatingSubstationInstallation,840.0
Floating Substation Installation Vessel,Install Mooring Line,FloatingSubstationInstallation,852.5400000000001
Floating Substation Installation Vessel,Install Suction Pile Anchor,FloatingSubstationInstallation,3162.54
Floating Substation Installation Vessel,Perform Mooring Site Survey,FloatingSubstationInstallation,840.0
Floating Substation Installation Vessel,Position Onsite,FloatingSubstationInstallation,140.0
Floating Substation Installation Vessel,Tow Substation to Site,FloatingSubstationInstallation,583.3333333333334
Floating Substation Installation Vessel,Transit,FloatingSubstationInstallation,350.0
Mooring System Installation Vessel,Delay,MooringSystemInstallation,72702.0
Mooring System Installation Vessel,Install Drag Embedment Anchor,MooringSystemInstallation,93385.9155
Mooring System Installation Vessel,Install Mooring Line,MooringSystemInstallation,23653.915500000003
Mooring System Installation Vessel,Load Mooring System,MooringSystemInstallation,9685.0
Mooring System Installation Vessel,Mobilize,MooringSystemInstallation,5880.0
Mooring System Installation Vessel,Perform Mooring Site Survey,MooringSystemInstallation,23244.0
Mooring System Installation Vessel,Position Onsite,MooringSystemInstallation,11622.0
Mooring System Installation Vessel,Transit,MooringSystemInstallation,8215.0
Multi-Purpose Support Vessel,Ballast to Operational Draft,MooredSubInstallation,11622.0
Multi-Purpose Support Vessel,Check Mooring Lines,MooredSubInstallation,11622.0
Multi-Purpose Support Vessel,"Connect Mooring Lines, Pre-tension and pre-stretch",MooredSubInstallation,38740.0
Multi-Purpose Support Vessel,Delay,MooredSubInstallation,77819.0
Multi-Purpose Support Vessel,Delay: No support vessel for Moored substructures,MooredSubInstallation,179690.0
Multi-Purpose Support Vessel,Mobilize,MooredSubInstallation,5880.0
Multi-Purpose Support Vessel,Position Substructure,MooredSubInstallation,3874.0
Multi-Purpose Support Vessel,Transit,MooredSubInstallation,350.0
Substation Assembly Line 1,Attach Topside,FloatingSubstationInstallation,1680.0
Substation Assembly Line 1,Substation Substructure Assembly,FloatingSubstationInstallation,0.0
Substructure Assembly Line 1,Substructure Assembly,MooredSubInstallation,325416.0
Towing Group 1,Ballast to Towing Draft,MooredSubInstallation,3966.0
Towing Group 1,Delay,MooredSubInstallation,23647.0
Towing Group 1,Delay: No Completed Assemblies Available,MooredSubInstallation,233197.2380952382
Towing Group 1,Positioning Support,MooredSubInstallation,49748.0
Towing Group 1,Queue,MooredSubInstallation,9793.166666666666
Towing Group 1,Tow Substructure,MooredSubInstallation,4721.428571428572
Towing Group 1,Transit,MooredSubInstallation,5508.333333333334
Towing Group 2,Ballast to Towing Draft,MooredSubInstallation,3900.0
Towing Group 2,Delay,MooredSubInstallation,23514.0
Towing Group 2,Delay: No Completed Assemblies Available,MooredSubInstallation,236803.57142857154
Towing Group 2,Positioning Support,MooredSubInstallation,45303.99999999999
Towing Group 2,Queue,MooredSubInstallation,10749.07142857143
Towing Group 2,Tow Substructure,MooredSubInstallation,4642.857142857143
Towing Group 2,Transit,MooredSubInstallation,5416.666666666667
Towing Group 3,Ballast to Towing Draft,MooredSubInstallation,3756.0
Towing Group 3,Delay,MooredSubInstallation,20959.0
Towing Group 3,Delay: No Completed Assemblies Available,MooredSubInstallation,230210.88095238103
Towing Group 3,Positioning Support,MooredSubInstallation,48800.0
Towing Group 3,Queue,MooredSubInstallation,10679.690476190477
Towing Group 3,Tow Substructure,MooredSubInstallation,4471.428571428572
Towing Group 3,Transit,MooredSubInstallation,5216.666666666667
Turbine Assembly Line 1,Delay,MooredSubInstallation,58097.0
Turbine Assembly Line 1,Delay: No Substructures in Wet Storage,MooredSubInstallation,106253.0
Turbine Assembly Line 1,Lift and Attach Blade,MooredSubInstallation,20338.5
Turbine Assembly Line 1,Lift and Attach Nacelle,MooredSubInstallation,13559.0
Turbine Assembly Line 1,Lift and Attach Tower Section,MooredSubInstallation,46488.0
Turbine Assembly Line 1,Mechanical Completion,MooredSubInstallation,46488.0
Turbine Assembly Line 1,Move Substructure,MooredSubInstallation,15496.0
Turbine Assembly Line 1,Prepare for Turbine Assembly,MooredSubInstallation,23244.0
