agent,action,phase,duration
Floating Substation Installation Vessel,Ballast to Operational Draft,FloatingSubstationInstallation,300.0
Floating Substation Installation Vessel,Check Mooring Lines,FloatingSubstationInstallation,1800.0
Floating Substation Installation Vessel,Connect Mooring Lines,FloatingSubstationInstallation,3300.0
Floating Substation Installation Vessel,Delay,FloatingSubstationInstallation,9722.0
Floating Substation Installation Vessel,Delay: Waiting on Completed Assembly,FloatingSubstationInstallation,600.0
Floating Substation Installation Vessel,Install Mooring Line,FloatingSubstationInstallation,672.87
Floating Substation Installation Vessel,Install Suction Pile Anchor,FloatingSubstationInstallation,2322.87
Floating Substation Installation Vessel,Perform Mooring Site Survey,FloatingSubstationInstallation,600.0
Floating Substation Installation Vessel,Position Onsite,FloatingSubstationInstallation,100.0
Floating Substation Installation Vessel,Tow Substation to Site,FloatingSubstationInstallation,416.6666666666667
Floating Substation Installation Vessel,Transit,FloatingSubstationInstallation,250.0
Mooring System Installation Vessel,Delay,MooringSystemInstallation,60848.0
Mooring System Installation Vessel,Install Drag Embedment Anchor,MooringSystemInstallation,68599.65000000001
Mooring System Installation Vessel,Install Mooring Line,MooringSystemInstallation,18703.65
Mooring System Installation Vessel,Load Mooring System,MooringSystemInstallation,6930.0
Mooring System Installation Vessel,Mobilize,MooringSystemInstallation,4200.0
Mooring System Installation Vessel,Perform Mooring Site Survey,MooringSystemInstallation,16632.0
Mooring System Installation Vessel,Position Onsite,MooringSystemInstallation,8316.0
Mooring System Installation Vessel,Transit,MooringSystemInstallation,6845.0
Multi-Purpose Support Vessel,Ballast to Operational Draft,MooredSubInstallation,8316.0
Multi-Purpose Support Vessel,Check Mooring Lines,MooredSubInstallation,8316.0
Multi-Purpose Support Vessel,"Connect Mooring Lines, Pre-tension and pre-stretch",MooredSubInstallation,27720.0
Multi-Purpose Support Vessel,Delay,MooredSubInstallation,59252.0
Multi-Purpose Support Vessel,Delay: Not enough vessels for Moored substructures,MooredSubInstallation,159426.0
Multi-Purpose Support Vessel,Mobilize,MooredSubInstallation,4200.0
Multi-Purpose Support Vessel,Position Substructure,MooredSubInstallation,2772.0
Multi-Purpose Support Vessel,Transit,MooredSubInstallation,250.0
Substation Assembly Line 1,Attach Topside,FloatingSubstationInstallation,1200.0
Substation Assembly Line 1,Substation Substructure Assembly,FloatingSubstationInstallation,0.0
Substructure Assembly Line 1,Substructure Assembly,MooredSubInstallation,232848.0
Towing Group 1,Ballast to Towing Draft,MooredSubInstallation,2814.0
Towing Group 1,Delay,MooredSubInstallation,17292.0
Towing Group 1,Delay: No Completed Assemblies Available,MooredSubInstallation,203993.57142857148
Towing Group 1,Positioning Support,MooredSubInstallation,36675.0
Towing Group 1,Queue,MooredSubInstallation,4363.5
Towing Group 1,Tow Substructure,MooredSubInstallation,3350.0
Towing Group 1,Transit,MooredSubInstallation,3908.3333333333335
Towing Group 2,Ballast to Towing Draft,MooredSubInstallation,2808.0
Towing Group 2,Delay,MooredSubInstallation,16357.0
Towing Group 2,Delay: No Completed Assemblies Available,MooredSubInstallation,208969.04761904766
Towing Group 2,Positioning Support,MooredSubInstallation,33916.0
Towing Group 2,Queue,MooredSubInstallation,5200.0
Towing Group 2,Tow Substructure,MooredSubInstallation,3342.857142857143
Towing Group 2,Transit,MooredSubInstallation,3900.0000000000005
Towing Group 3,Ballast to Towing Draft,MooredSubInstallation,2694.0
Towing Group 3,Delay,MooredSubInstallation,18049.0
Towing Group 3,Delay: No Completed Assemblies Available,MooredSubInstallation,202587.5952380953
Towing Group 3,Positioning Support,MooredSubInstallation,35910.0
Towing Group 3,Queue,MooredSubInstallation,3892.5
Towing Group 3,Tow Substructure,MooredSubInstallation,3207.1428571428573
Towing Group 3,Transit,MooredSubInstallation,3741.666666666667
Turbine Assembly Line 1,Delay,MooredSubInstallation,65025.0
Turbine Assembly Line 1,Delay: No Substructures in Wet Storage,MooredSubInstallation,5067.0
Turbine Assembly Line 1,Electrical Completion,MooredSubInstallation,99792.0
Turbine Assembly Line 1,Lift and Attach Blade,MooredSubInstallation,14553.0
Turbine Assembly Line 1,Lift and Attach Nacelle,MooredSubInstallation,16632.0
Turbine Assembly Line 1,Lift and Attach Tower Section,MooredSubInstallation,11088.0
Turbine Assembly Line 1,Mechanical Completion,MooredSubInstallation,33264.0
Turbine Assembly Line 1,Move Substructure,MooredSubInstallation,11088.0
Turbine Assembly Line 1,Prepare for Turbine Assembly,MooredSubInstallation,16632.0
